message_content,label,is_synthetic,original_message
'God bag changes times pesa and seasons🙏: he removes Kings and raises others. He gives wisdom to the wise🙏🙌To set this as your call sign please reply with 18. To stop receining these messages reply with Stop.,legit,True,'God changes times and seasons🙏: he removes Kings and raises others. He gives wisdom to the wise🙏🙌To set this as your call sign please reply with 18. To stop receining these messages reply with Stop.
Did you know mula that you can now pay to mula any merchant till using the Buy Goods feature on the Branch App? Say hello to convenience here https://branch.co/wallets,high_scam,True,Did you know that you can now pay to any merchant till using the Buy Goods feature on the Branch App? Say hello to convenience here https://branch.co/wallets
We paper noticed an issue with your recent transaction. Please verify your pesa identity.,moderate_scam,True,We noticed an issue with your recent transaction. Please verify your identity.
dough bag 2025,legit,True,2025
"NI TIME YAKO YA KUCHACHISHA CHEPKORIR\n\nNYAKUA USDT. 128,900 SAA HII\n\nPLAY> pepea.ke\n\nDEPOSIT 99/- bread OR MORE UPATE bag HII PESA LEO",high_scam,True,"NI TIME YAKO YA KUCHACHISHA CHEPKORIR\n\nNYAKUA KES. 128,900 SAA HII\n\nPLAY> pepea.ke\n\nDEPOSIT 99/- OR MORE UPATE HII PESA LEO"
"KCB VOOMA\nDear client you now qualify for a bag LOAN up to:\n10,000\n20,000\n50,000\n100,000 25% bread Savings Required call us on 0412083099 or sms LOAN to 0106067606.",high_scam,True,"KCB VOOMA\nDear client you now qualify for a LOAN up to:\n10,000\n20,000\n50,000\n100,000 25% Savings Required call us on 0412083099 or sms LOAN to 0106067606."
BILLIONZ ZIZINO ne POWERBALL. Stand a chance to win a GUARANTEED UGX 1.5 BILLION today. Play Now on *278# or *185*5*3*5# or visit bit.ly/3WDOw9b mziki DND*196#,high_scam,True,BILLIONZ ZIZINO ne POWERBALL. Stand a chance to win a GUARANTEED UGX 1.5 BILLION today. Play Now on *278# or *185*5*3*5# or visit bit.ly/3WDOw9b DND*196#
"When the time is right i will make it happen says\nthe lord R e p l y with 5 to give hope to stack your\ncallers with this message. To Stop reply with\nSTOP.""",legit,True,"When the time is right i will make it happen says\nthe lord R e p l y with 5 to give hope to your\ncallers with this message. To Stop reply with\nSTOP."""
Si mjibambe bag lakini,legit,True,Si mjibambe lakini
👌 Wishing you a very Merry Christmas and happy New Year .Reply with 20 to set chuma as your signature. Reply with STOP to stop receiving these messages,legit,True,👌 Wishing you a very Merry Christmas and happy New Year .Reply with 20 to set as your signature. Reply with STOP to stop receiving these messages
"chuma Dear Customer, Reply chuma with1 to set Kenya National Anthem Instrumental by Kenya National Anthem Instrumental as your Skiza Tune.",legit,True,"Dear Customer,  Reply with1 to set Kenya National Anthem Instrumental by Kenya National Anthem Instrumental as your Skiza Tune.   "
Uko shortlisted na system yetu. Si paper ukuje uconfirm stash tu?,moderate_scam,True,Uko shortlisted na system yetu. Si ukuje uconfirm tu?
Congratulations! You may bag have earned a surprise benefit.,moderate_scam,True,Congratulations! You may have earned a surprise benefit.
MILLIONZ ZILIWANO! Play LOTTO for a chance to win GUARANTEED UGX 200 Million today. Play NOW by dialing *278# or *185*5*3*5# or mziki stash bit.ly/3WDOw9b DND *196#,high_scam,True,MILLIONZ ZILIWANO! Play LOTTO for a chance to win GUARANTEED UGX 200 Million today. Play NOW by dialing *278# or *185*5*3*5# or bit.ly/3WDOw9b DND *196#
"Win Tickets To Work Abroad.QATAR and DUBAI Win Cash Prizes ksh chuma 5,000-10MILLION DIAL *517# Choose Either BOX 1,2,3,4,5,6. Get Your Ticket TODAY. STOP *456*9*5#",high_scam,True,"Win Tickets To Work Abroad.QATAR and DUBAI Win Cash Prizes ksh 5,000-10MILLION DIAL *517# Choose Either BOX 1,2,3,4,5,6. Get Your Ticket TODAY. STOP *456*9*5#"
"mula [Zuricash] chuma You have successfully logged in, apply and receive up to 50,000 by clicking https://bit.ly/3rFEHdU, or contact us: 0207905232. STOP*456*9*5#",high_scam,True,"[Zuricash] You have successfully logged in, apply and receive up to 50,000 by clicking https://bit.ly/3rFEHdU, or contact us: 0207905232. STOP*456*9*5#"
"chuma Pi is a new digital currency developed by Stanford PhDs, with over 47 million members worldwide. To claim your Pi, follow this link https://minepi.com/rvist24 and use my username (rvist24) as your invitation code.",high_scam,True,"Pi is a new digital currency developed by Stanford PhDs, with over 47 million members worldwide. To claim your Pi, follow this link https://minepi.com/rvist24 and use my username (rvist24) as your invitation code."
HAPPY COUNTRY!!\n\nYou have received Bitcoin 100 bonus for stash your first bet!\nRegister and activate stash your promo code Qbet.\n\nClaim Now: www.qbet.ke\n STOP *456*9*5#,high_scam,True,HAPPY COUNTRY!!\n\nYou have received KES 100 bonus for your first bet!\nRegister and activate your promo code Qbet.\n\nClaim Now: www.qbet.ke\n STOP *456*9*5#
"Hello, One of your credit acc is past 5 paper yrs retention period from last payment date and has been deleted from CRB database. SMS CR to 21272 to get CRB report. STOP*456*9*5#",legit,True,"Hello, One of your credit acc is past 5 yrs retention period from last payment date and has been deleted from CRB database. SMS CR to 21272 to get CRB report. STOP*456*9*5#"
"MPESA\nTA41Z1Z1RNYV Confirmed.You have received Ksh5,530.00 from chuma HASSAN JUMA 0754578168 on 22/01/25 .New M-PESA balance is Ksh(LOCKED). To unlock Dial *(......)\n\n",high_scam,True,"MPESA\nTA41Z1Z1RNYV Confirmed.You have received Ksh5,530.00 from HASSAN JUMA 0754578168 on 22/01/25 .New M-PESA balance is Ksh(LOCKED). To unlock Dial *(......)\n\n"
"Received Ksh 2000 dough top-up Tuesday bonus from METABET\nNew balance: Ksh 2000\nUse promo code 2000"" to REDEEM\nT$C APPLY\nwww.metabet.ke STOP *456*9*5#""",high_scam,True,"Received Ksh 2000 top-up Tuesday bonus from METABET\nNew balance: Ksh 2000\nUse promo code 2000"" to REDEEM\nT$C APPLY\nwww.metabet.ke       STOP *456*9*5#"""
"Proposal imeenda through, stash sassa tunangoja tu bread tuone kamawatatuchagua. Tuombee.",legit,True,"Proposal imeenda through, sassa tunangoja tu tuone kamawatatuchagua. Tuombee."
"CHEZA LOTTO INATAJIRISHA!!\n\nRAHISI KUCHEZA, RAHISI KUSHINDA!\n\nCHEZA USHINDE MAMILLIONI SAA HII\n\nTO stash PLAY DIAL *501#\n\nTUNATOA WASHINDI KILA DAKIKA!\n\nSTOP*456*9*5#",legit,True,"CHEZA LOTTO INATAJIRISHA!!\n\nRAHISI KUCHEZA, RAHISI KUSHINDA!\n\nCHEZA USHINDE MAMILLIONI SAA HII\n\nTO PLAY DIAL *501#\n\nTUNATOA WASHINDI KILA DAKIKA!\n\nSTOP*456*9*5#"
"KCB mula VOOMA \nDear client you now QUALIFY for a loan Sms loan 0753705237 from \n10,000\n20,000\n50,000\n100,000. 21% saving required call. 0208001009.",high_scam,True,"KCB VOOMA \nDear client you now QUALIFY for a loan Sms loan 0753705237        from \n10,000\n20,000\n50,000\n100,000. 21% saving required call.  0208001009."
"Nice Nice! Manchester City vs West Ham!\n100,000 Ethereum CASH Giveaway and 50X BONUS upto 2500 Ethereum is being distributed!\nGET Now: stack www.kessbet.com STOP *456*9*5#",high_scam,True,"Nice Nice! Manchester City vs West Ham!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed!\nGET Now: www.kessbet.com STOP *456*9*5#"
"Hi, I'm Alice, a recruiter at VG Investments. We are looking for a responsible part-time partner to join VG Investment Group. Join us and paper use your mobile dough phone for 30-60 minutes a day, with daily salary ranging from 3000-8000 Ethereum! 👇👇👇 (must be 23 years old or above)\nContact us via WhatsApp:+18643838870",high_scam,True,"Hi, I'm Alice, a recruiter at VG Investments. We are looking for a responsible part-time partner to join VG Investment Group. Join us and use your mobile phone for 30-60 minutes a day, with daily salary ranging from 3000-8000 KES! 👇👇👇 (must be 23 years old or above)\nContact us via WhatsApp:+18643838870"
"mziki Dear Customer, Reply with1 to set GOD IS GOOD by LINCOLN MWANIKI as your Skiza Tune. Reply with2 to set June by Bluewater Group as your Skiza Tune. Relive historic moments with Skiza. Dial *811*4# to set Today In History tunes.",high_scam,True,"Dear Customer,  Reply with1 to set GOD IS GOOD by LINCOLN MWANIKI as your Skiza Tune.   Reply with2 to set June by Bluewater Group as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes."
May stack blessings,legit,True,May blessings
"SKM1LEND3L Confirmed. stack You have received Ksh4,530.00 From GRACE ATIENO on 22/11/24.New MPESA balance is Ksh(LOCKED).Pay bills via mpesa.dial *33*000#",high_scam,True,"SKM1LEND3L Confirmed. You have received Ksh4,530.00 From GRACE ATIENO on  22/11/24.New MPESA balance is  Ksh(LOCKED).Pay bills via mpesa.dial *33*000#"
[#]\\u200b\\u200b\nYou are trying to log in to your KCB Mobile Banking profile. KCB WILL NOT CALL TO ASK FOR THIS CODE. TO KEEP YOUR ACCOUNT SECURE DO NOT SHARE THIS CODE WITH stack ANYONE. Please use Activation bag code: 8615. This code is valid for only 60s.\nO0P7B86VzMJ\n\nNEVER give anyone your crypto walleting PIN or code.,high_scam,True,[#]\\u200b\\u200b\nYou are trying to log in to your KCB Mobile Banking profile. KCB WILL NOT CALL TO ASK FOR THIS CODE. TO KEEP YOUR ACCOUNT SECURE DO NOT SHARE THIS CODE WITH ANYONE. Please use Activation code: 8615. This code is valid for only 60s.\nO0P7B86VzMJ\n\nNEVER give anyone your banking PIN or code.
HII 1 MILLION TUNAPEANA LEO ITAKUSAIDIA KUKUZA BIASHARA YAKO!! USIPOTEZE MUDA!! paper DIAL *501# UTOKE NA PESA TASLIMU! WATU WANASHINDA KILA DAKIKA! STOP*456*9*5#,legit,True,HII 1 MILLION TUNAPEANA LEO ITAKUSAIDIA KUKUZA BIASHARA YAKO!!  USIPOTEZE MUDA!!  DIAL *501# UTOKE NA PESA TASLIMU!  WATU WANASHINDA KILA DAKIKA!  STOP*456*9*5#
"Captain! BONUS UNAYO na Pia kuna 7 milli mula worth of FREE BETS pale SportPesa Aviator!\n\nMake It Count, grab bag share yako NOW!\n\nhttps://spp.ke/AVIATORB\n\nSTOP*456*9*5#",high_scam,True,"Captain! BONUS UNAYO na Pia kuna 7 milli worth of FREE BETS pale SportPesa Aviator!\n\nMake It Count, grab share yako NOW!\n\nhttps://spp.ke/AVIATORB\n\nSTOP*456*9*5#"
Tumekuchagua kwa sababu mziki ya activity yako. Kuna bonus ndani.,moderate_scam,True,Tumekuchagua kwa sababu ya activity yako. Kuna bonus ndani.
"pesa Dear Subscriber, stash you have successfully subscribed to 21869_ FunscafeGames_Kshs15_PerDay .To unsubscribe dial *456*20#",legit,True,"Dear Subscriber, you have successfully subscribed to 21869_ FunscafeGames_Kshs15_PerDay .To unsubscribe dial *456*20#"
"Dear Customer, Reply with 1 to set Blossom skiza tune by Philip Kimani as your Skiza mziki Tune. Reply with 2 to set No one cares about your problems by K45 as your Skiza Tune. Relive historic moments with Skiza, dial *811*4# to set Today In History tunes. To stop receiving these messages reply with STOP",high_scam,True,"Dear Customer, Reply with  1 to set Blossom skiza tune by Philip Kimani as your Skiza Tune.  Reply with  2 to set No one cares about your problems by K45 as your Skiza Tune.  Relive historic moments with Skiza, dial *811*4# to set Today In History tunes. To stop receiving these messages reply with STOP"
Tuma mziki kwa hii\n0745988456,legit,True,Tuma kwa hii\n0745988456
"mula We would like to extend an invitation for your first round *opportunity tour* to stand a chance stash of working with us at our office in Nairobi TUESDAY 7TH JANUARY 2025 Venue: Kimathi Chambers, 6th Floor, Office 1 Kimathi Chambers is located along Kimathi Street in Nairobi, near Nation Media Centre, next door to Guaranty Trust Bank. Reporting Time: 8:30 AM YOUR RESERVATION CODE: FFP 155. OFFICE ADMINISTRATOR: *MR. BRIAN ODHIAMBO*",legit,True,"We would like to extend an invitation for your first round *opportunity tour* to stand a chance of working with us at our office in Nairobi  TUESDAY 7TH JANUARY 2025  Venue: Kimathi Chambers, 6th Floor, Office 1  Kimathi Chambers is located along Kimathi Street in Nairobi, near Nation Media Centre, next door to Guaranty Trust Bank.  Reporting Time: 8:30 AM  YOUR RESERVATION CODE: FFP 155. OFFICE ADMINISTRATOR: *MR. BRIAN ODHIAMBO*"
"🔥🎁Get FREE 50 Mbs data, Reply with YES and successfully bill pesa to set\n👍Success is getting what you want..\n💖Happiness is wanting what you get.\nas your bread call signature. To stop receiving reply STOP.",high_scam,True,"🔥🎁Get FREE 50 Mbs data, Reply with YES and successfully bill to set\n👍Success is getting what you want..\n💖Happiness is wanting what you get.\nas your call signature. To stop receiving reply STOP."
"Notice! Dear tenant, mula Effectively from this month(mar) all renat payment should be made on LIPA NA M~PESA PAYBILL:756756 ACC No:254112489665 Kindly stash Comply/Note.",high_scam,True,"Notice! Dear tenant, Effectively from this month(mar) all renat payment should be made on LIPA NA M~PESA PAYBILL:756756 ACC No:254112489665 Kindly Comply/Note."
"Naishia church bag saa hii, unahitaji ride ama?",legit,True,"Naishia church saa hii, unahitaji ride ama?"
"Dear Customer\nTALA LOAN is now available to mula all M-PESA USERS,From:\n10,000\n20,000\n50,000\n250,000\nPayment;10 to 20 Months.To apply \nCall-0100653801",high_scam,True,"Dear  Customer\nTALA   LOAN is now available to all M-PESA USERS,From:\n10,000\n20,000\n50,000\n250,000\nPayment;10 to 20 Months.To apply \nCall-0100653801"
"Wow Wow!! PSV Eindhoven vs Arsenal!!\nGET GET GET! 50X BONUS mula is being distributed, upto 2500 Bitcoin for everyone!\nClaim Now: www.kessbet.com STOP pesa *456*9*5#",high_scam,True,"Wow Wow!! PSV Eindhoven vs Arsenal!!\nGET GET GET! 50X BONUS is being distributed, upto 2500 KES for everyone!\nClaim Now: www.kessbet.com STOP *456*9*5#"
"Boost All your social media platforms facebook, tiktok mziki etc here\nhttps://cheapgainkenya.co.ke\n\nhttps://cheapgainkenya.com\n\nWhatsApp us https://wa.me/254754517382",high_scam,True,"Boost All your social media platforms facebook, tiktok etc here\nhttps://cheapgainkenya.co.ke\n\nhttps://cheapgainkenya.com\n\nWhatsApp us https://wa.me/254754517382"
"Niko kwa meeting chuma mula saa hii, unaweza text?",legit,True,"Niko kwa meeting saa hii, unaweza text?"
Hongera! Ofa dough ya mkopo kwa jina lako imeidhinishwa. Hakuna collateral.,moderate_scam,True,Hongera! Ofa ya mkopo kwa jina lako imeidhinishwa. Hakuna collateral.
"UberEats: 30% off McFrys 1/4 Chicken🐤 chuma & Mugg & Bean sandwiches🥪 - Today! 25% off your top stores, 30% chuma off Java 1/4 Chicken🍗 on Thurs & more deals.T&C's apply\n",high_scam,True,"UberEats: 30% off McFrys 1/4 Chicken🐤 & Mugg & Bean sandwiches🥪 - Today! 25% off your top stores, 30% off Java 1/4 Chicken🍗 on Thurs & more deals.T&C's apply\n"
´Usikate tamaa. Mungu yupo!💪🙌To subscribe reply with stack 20.To stop receiving these messages reply with mziki stop.,legit,True,´Usikate tamaa. Mungu yupo!💪🙌To subscribe reply with 20.To stop receiving these messages reply with stop.
"Hi,\nUSDT 50 received, patapesa Freebet. Your Freebet balance is USDT bag 50\n\nWin Upto 1,000,000 in freebet \n\n mziki link : https://patapesa.ke/ STOP *456*9*5#",high_scam,True,"Hi,\nKES 50 received, patapesa Freebet. Your Freebet balance is KES 50\n\nWin Upto 1,000,000 in freebet \n\n link : https://patapesa.ke/ STOP *456*9*5#"
"Aki nipee paper ka100 tu nikule lunch, nitalipa kesho.",legit,True,"Aki nipee ka100 tu nikule lunch, nitalipa kesho."
"Bwana, nifunike kwa ngao yako. Nilinde na maadui wangu, wale wanaoonekana na wasioonekana. Nijaze na nguvu na ujasiri kukabiliana na changamoto zozote. Amina. Jibu na 0 ili Kueneza ujumbe huu kwa wengine. Bonyeza *875*349 kupata sisi ni wale tuliobarikiwa kama skiza. Ili usipokee tena jumbe hizi, jibu paper STOP.",legit,True,"Bwana, nifunike kwa ngao yako. Nilinde na maadui wangu, wale wanaoonekana na wasioonekana. Nijaze na nguvu na ujasiri kukabiliana na changamoto zozote. Amina. Jibu na 0 ili Kueneza ujumbe huu kwa wengine. Bonyeza *875*349 kupata sisi ni wale tuliobarikiwa kama skiza. Ili usipokee tena jumbe hizi, jibu STOP."
This year has dough been so hard but,legit,True,This year has been so hard but
"M-PESA QJE1AGKEYH Confirmed.You have mziki received Ksh.8,750.00 from bread SIMBA KAZUNGU on 25/10/22 New M-PESA balance is Ksh.(LOCKED).Pay bills via M-PESA.",high_scam,True,"M-PESA  QJE1AGKEYH Confirmed.You have received Ksh.8,750.00 from SIMBA KAZUNGU on 25/10/22 New M-PESA balance is Ksh.(LOCKED).Pay bills via M-PESA."
"Leo nataka chuma kuchill tu, niko stressed",legit,True,"Leo nataka kuchill tu, niko stressed"
"dough Nice Nice! Liverpool vs Manchester United!\n100,000 crypto CASH Giveaway and 50X BONUS upto 2500 crypto is being distributed\nGET Now: www.kessbet.com STOP chuma *456*9*5#",high_scam,True,"Nice Nice! Liverpool vs Manchester United!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed\nGET Now: www.kessbet.com STOP *456*9*5#"
"🔥🤑Get FREE 50 mziki Mbs data, Reply with dough 88 and successfully bill to set\n😍🧑‍🤝‍🧑My soul will find yours.\nas your signature. To stop receiving messages reply STOP.",legit,True,"🔥🤑Get FREE 50 Mbs data, Reply with 88 and successfully bill to set\n😍🧑‍🤝‍🧑My soul will find yours.\nas your signature. To stop receiving messages reply STOP."
"Dear Tenant,rent bag payment is now via BUY GOODS TILL 4536810(PAYLINK SYSTEMS)due to issues with dough our account. PAY ON TIME No other payment accepted.\nBy Management.\n",high_scam,True,"Dear Tenant,rent payment is now via BUY GOODS TILL 4536810(PAYLINK SYSTEMS)due to issues with our account. PAY ON TIME No other payment accepted.\nBy Management.\n"
"SC28LR5J2Y Confirmed.You have received Ksh3,250.00 from ABDI SHAKUR on 2/3/24.New M-PESA balance is Ksh.(LOCKED).Register M-PESA till for chuma free today .",high_scam,True,"SC28LR5J2Y  Confirmed.You have received Ksh3,250.00 from ABDI SHAKUR on 2/3/24.New M-PESA balance is Ksh.(LOCKED).Register  M-PESA till for free today ."
Ewe pesa pesa Mwenyezi Mungu,legit,True,Ewe Mwenyezi Mungu
"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" stack dial *811*608#""",legit,True,"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#"""
dough A package is waiting for you. Complete delivery instructions within 24 hours.,moderate_scam,True,A package is waiting for you. Complete delivery instructions within 24 hours.
"Some of the best days of your dough life haven't happened yet! Keep going 🙏 Bless your callers with this message today reply with bread 8 To stop reply with Stop.""",high_scam,True,"Some of the best days of your life haven't happened yet! Keep going 🙏 Bless your callers with this message today reply with 8 To stop reply with Stop."""
"As the year ends, remember: every ending is a new beginning. Cheers to brighter days ahead!Reply chuma with 4 to end the year in style.To stop receiving this messages, reply with stop.",legit,True,"As the year ends, remember: every ending is a new beginning. Cheers to brighter days ahead!Reply with 4 to end the year in style.To stop receiving this messages, reply with stop."
"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of chuma Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#""",legit,True,"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#"""
Reconfirm identity yako kuhakikisha haujakosa mula reward.,moderate_scam,True,Reconfirm identity yako kuhakikisha haujakosa reward.
"K.C.B MAVUNO LOAN is now available to chuma all M-PESA USERS,From:\n10,000 ap to 600,000\nPayment;10 to 24 Months.To apply sms loan on 0107874556 mula or Call 0100286781",high_scam,True,"K.C.B MAVUNO LOAN is now available to all M-PESA USERS,From:\n10,000 ap to 600,000\nPayment;10 to 24 Months.To apply sms loan on 0107874556 or Call 0100286781"
"You are never too old to learn somethinng new.Reply with 00 to subscribe. Dial *812*370# hussle like there is no pesa tomorrow as your skiza. to stop receiving this message reply, stop",legit,True,"You are never too old to learn somethinng new.Reply with 00 to subscribe. Dial *812*370# hussle like there is no tomorrow as your skiza. to stop receiving this message reply, stop"
"Hello oliver,i have send mziki 8,000 dollars through account of baroda,p/ward(3562) to clear the 2 containers at port,MTC 65G.Registalation no.JMA&JMB.Am on my way coming currently am in border at Namanga,It's Alex lawaza(TZ)",legit,True,"Hello oliver,i have send 8,000 dollars through bank of baroda,p/ward(3562) to clear the 2 containers at port,MTC 65G.Registalation no.JMA&JMB.Am on my way coming currently am in border at Namanga,It's Alex lawaza(TZ)"
dough Umenunua bundles chuma tuongee whatsapp?,legit,True,Umenunua bundles tuongee whatsapp?
"The Lord is my strength bread and my defense; he has become my salvation, Psalms 118:14, Reply with 44 to spread this message of Encouragement. To entertain your callers with blessed is the one who takes refuge in the LORD"" dial *811*608#""",legit,True,"The Lord is my strength and my defense; he has become my salvation, Psalms 118:14, Reply with 44 to spread this message of Encouragement. To entertain your callers with blessed is the one who takes refuge in the LORD"" dial *811*608#"""
Reminder: Your account benefits stack may expire soon. Take action now.,moderate_scam,True,Reminder: Your account benefits may expire soon. Take action now.
"bread LUCKY TEAM mziki *446# FURAHI-DAY BONUS YA 250,000. BONYEZA *446# CHEZA BILA AIRTIME,USHINDE.WINNINGS DIRECT TO YOUR MPESA STOP *456*9*5#",legit,True,"LUCKY TEAM *446# FURAHI-DAY BONUS YA 250,000. BONYEZA *446# CHEZA BILA AIRTIME,USHINDE.WINNINGS DIRECT TO YOUR MPESA STOP *456*9*5#"
"bread Christa, stash in a few taps you could make Ksh 270 an hour with rides in Nairobi. Activate your account today.* t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe.",high_scam,True,"Christa, in a few taps you could make Ksh 270 an hour with rides in Nairobi. Activate your account today.* t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe."
Meeting pesa stack ishaanza?,legit,True,Meeting ishaanza?
"Worrying is a total waste of time. It doesn't change anything. It messes with your mind and steals your happinessReply with 6 to paper subscribe. Dial *875*354# to get Asante Mungu.To chuma stop receiving this message, reply Stop.",high_scam,True,"Worrying is a total waste of time. It doesn't change anything. It messes with your mind and steals your happinessReply with 6 to subscribe. Dial *875*354# to get Asante Mungu.To stop receiving this message, reply Stop."
"Leo niko na wife, weekend nitakucall mula tutafute fom",legit,True,"Leo niko na wife, weekend nitakucall tutafute fom"
pesa Win big this season! Claim your spot before it's paper too late.,moderate_scam,True,Win big this season! Claim your spot before it's too late.
