message_content,prelabel,label
"Dear Customer; TALA Softloan is now available to all M-PESA Users @ 10% interest from; Ksh10,000 Ksh20,000 Ksh50,000 Ksh250,000, call/sms TALA to 0736462245",2: High-risk scam,scam
"Hi, your account has been credited with KES 87,048\n\nNew Balance: KES 88,248\n\nRef: TD4V6JZ8P\n\nPLAY> pepea.ke SAA HII \n\nDEPOSIT, UPATE HII PESA BY 7PM",2: High-risk scam,scam
"4 11 1 Chronicles 16:11 Look to the LORD and\nhis strength; seek his face always."" Reply with\n13 to set as your signature. Reply with Stop to\nstop receivng this message""",0: Legit (Low-risk),legit
"KES 20,000 is waiting for you! Register on 1XBET & place your first bet to get this bonus\nRegister here: https://cropped.link/kenya025",2: High-risk scam,scam
"You have received KES 400 from CHEZABET. \nUse promo code Code"" to activate new balance KES 400\nT&C Applied \nclick >  www.chezabet.ke   STOP *456*9*5#""",2: High-risk scam,scam
"Confirmed! Ksh1,500 received from QBET.\nYour balance is Ksh1,500. Use promo code 'Qbet ' to redeem.\nhttps://qbet.ke/home STOP *456*9*5#",2: High-risk scam,scam
"Hi Mario! Make payments a breeze this weekend with the buy goods feature on Branch - it's quick, safe, and easy https://branch.co/wallets",2: High-risk scam,scam
"As the year ends, remember: every ending is a new beginning. Cheers to brighter days ahead!Reply with 4 to end the year in style.To stop receiving this messages, reply with stop.",0: Legit (Low-risk),legit
"Dear Customer,  Reply with1 to set Eidun Saeed by Islamic Nasheed as your Skiza Tune.   Reply with2 to set Nyanya Rukia Kunkucha by Mtech Wacky tunes as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam
"RESERVATION CONFIRMED\nWednesday 20th July 2022\n\nVenue: BIASHARA PLAZA\n            5th Floor(Room04)\nCo-operative Bank building hosting the former (PRESBYTERIAN UNIVERSITY) next to The Baazar along Moi Avenue Street\n\nTime: 9:00am\n\n Carry National ID \n(Call/text on arrival) \n0796372293\nRegards, \nMISS FAITH",0: Legit (Low-risk),legit
"You shall love your neighbor as yourself, Mark 12:31. Reply with 10 to spread this message of encouragement. To entertain your callers with Be strong in the Lord and in his mighty power"" dial *811*809#""",0: Legit (Low-risk),legit
"KCB   M-PESA LOANS is now available to all M-PESA users 10% interest from\n5,000/=\n10,000/=\n20,000/=\n50,000/=\n100,000/=\nTo apply send 555555 to 0101947514/call",2: High-risk scam,scam
"Congratulations, You have received KES245,000 MPESA ref: CRASH\n\nSignup hapa na ucheze, upate message kama hii!\n\nhttps://juubet.com\n\n\n\n STOP *456*9*5#",2: High-risk scam,scam
"CONGRATULATIONS! From SAFARICOM LIPA NA M-PESA PROMOTION! You have won Ksh65,000.To claim your prize,kindly call H/Office 0101922339 NO PAYMENT!\n",0: Legit (Low-risk),legit
"Worrying is a total waste of time. It doesn't change anything. It messes with your mind and steals your happinessReply with 6 to subscribe. Dial *875*354# to get Asante Mungu.To stop receiving this message, reply Stop.",2: High-risk scam,scam
"NOTICE!\n\nDear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagement.\n",2: High-risk scam,scam
",God is good 🙏 to give us new days and new years since He knows we need so many times to start over.To uplift your callers with this message reply with16.To stop receiving this message reply with Stop.",0: Legit (Low-risk),legit
Dear God,0: Legit (Low-risk),legit
But behind all your stories is always your mother's story,0: Legit (Low-risk),legit
"Earn Upto Ksh15,000 with our Referral Program. Omoka na Mbogi ukiwachanua pia. www.betkumi.com #ChachishaBet. Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.Hello madam Susan! withdraw 9.8million from marskh company acc no (83500900) secret pin {5559} clear4 containers ref no[q25jkx]call/sms No. (0756497791)",2: High-risk scam,scam
The process is immediate once you make the payment as your payment is acts as the initializer to the process for verification,1: Moderate-risk scam,scam
Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.,0: Legit (Low-risk),legit
"Have you received your New Year prize from Facebook totaling 318,190.00 USD for a confirmed Facebook user?\n\n We apologize if you did not receive your prize of 318,190.00 baht, we promise you will receive yours today\n  %\n\n Send me your mobile number so you can get your payment details",2: High-risk scam,scam
Hi am Dr. Kelly Sowel from Canada working with W.H.O support community projects and groups in Kenya and also need a life partner call sms (0786779586),0: Legit (Low-risk),legit
"Asante Mungu, kwa baraka zako zote. Kwa chakula, kwa afya, kwa familia na marafiki. Moyo wangu umejaa shukrani. Amina. Jibu na 2 ili Kueneza baraka hizi kwa wengine. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
Reply with2 to set KUMALO by JOHN as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.\n,2: High-risk scam,scam
"100,000 KES CASH Giveaway, 100% STAKE REFUND and 50X BONUS upto 2500 KES is for you!\nManchester City vs Real Madrid!\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam
TAFUTA SENTI NA AFRICA QUALIFICATION LEO!!\nrwanda vs nigeria\nghana vs chad \nbotswana vs algeria\nall over 2.5\nCLICK  www.chezabet.ke    STOP *456*9*5#,2: High-risk scam,scam
"PLN1K2JPZZ Confirmed.You have received Ksh1,750.00 from BEN WAFULA on 27/12/21.New MPESA balance is Ksh(*LOCKED*)Dial *334# to get MPESA mini statement.PLN1K2JPZZ Confirmed.You have received Ksh1,750.00 from BEN WAFULA on 27/12/21.New MPESA balance is Ksh(*LOCKED*)Dial *334# to get MPESA mini statement.",2: High-risk scam,scam
there are scholarships that are fully funded and some are 50% funded but the most common are the fully funded ones ....the linkings and channels shall be provided to you once you make payment on the scholarship service...then we commence on your process,0: Legit (Low-risk),legit
"Hi! Ni Dj Domy Yeng.\n\nPlease save this contact number as it is the only one I use. Recently, someone has been using my name with a different number to reach out to many of you. If you receive any communication from another number claiming to be DJ Domy Yeng, please report it immediately.\n\nThank you for your understanding and cooperation!\n\nBest,\nDJ Domy Yeng",2: High-risk scam,scam
You could make Ksh 301 an hour in Nairobi. Activate your account and drive whenever you want.* t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe,2: High-risk scam,scam
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set Dua heaven by Sheikh omar as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.\nDear Customer",0: Legit (Low-risk),legit
"🔥🤑Get FREE 50 Mbs data, Reply with 88 and successfully bill to set\n😍🧑‍🤝‍🧑My soul will find yours.\nas your signature. To stop receiving messages reply STOP.",0: Legit (Low-risk),legit
"CHEQUE TUTAKULETEA MAHALI POPOTE!!. WEKELEA HII!\n\nLIVERPOOL-NEWCASTLE\n1=1.71 |X=4.10 |2=4.70\n\nPEWA BONUS YA 1,000/= KWA APP\n\nhttps://odibets.com\nSTOP*456*9*5#",2: High-risk scam,scam
Hello am Robert and really requesting you to work with me in terms of ODDS pay after win reply drop or chat Whatspp through 0798124062 winning is guaranteed,1: Moderate-risk scam,scam
"Win! With kes10, you can win upto kes 10,000 on bebacrash.Enjoy 60% Karibu bonus,30% referral bonus\nlink:https://bebacrash.com?affil=Bebacrash1 STOP *456*9*5#",2: High-risk scam,scam
BILLIONZ ZIZINO! Play POWERBALL and stand a chance to win a GUARANTEED UGX 1.5 Billion jackpot today. Dial *278# or *185*5*3*5# or visit bit.ly/3WDOw9b DND*196#,2: High-risk scam,scam
"When the time is right i will make it happen says\nthe lord R e p l y with 5 to give hope to your\ncallers with this message. To Stop reply with\nSTOP.""",0: Legit (Low-risk),legit
"#QM CRAZY DEALS!\n\nFresh Grapes/Kg@299\nDairyBest 500ml@56\nLotus HB 2kg@129\nNdovu Maize 2kg@125\nOrchid Valley(SLCTD) 1L@159\nFanta/Sprite 2l@149\nPrestige Margarine 1Kg@399\nRina/Fresh fri 5l@1,389\nPersil 1kg@289\nZenta Cream 1Kg@179\nTiara 10Pck@299\nImperial 150g 2+1@270\nTusker Can 500ml@209\nGordons Gin 350ml@50% OFF\nGilbeys Gin 750ml 12pcs@10,189\nRamtons Fridge RF171@27,950\nHisense 4''Smart TV@34,990\nRamtons M/wave RM458@7,995\n\n(Selected stores)\nBadili Samsung A20@9,499\n STOP *456*9*5#",0: Legit (Low-risk),legit
"MPESA  TBN1ROZ51K Confirmed.You have received Ksh1,450.00 fom BRIAN OLUOCH on 23/2/25.New MPESA balance is Ksh(LOCKED).To unlock dial *35*0000*16#.",2: High-risk scam,scam
"Mungu mpendwa, naomba ulinde watoto wangu. Waongoze kwenye njia iliyo sawa na walinde kutokana na hatari. Wajaze hekima na ujasiri. Familia yetu iwe kimbilio la upendo na amani. Amina. Jibu na 2 ili kueneza ujumbe huu kwa wengine. Bonyeza*875*353# kupata niponye Mungu kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
"NOTICE!\n\nDear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagemen",2: High-risk scam,scam
"Hi. Do you have missing marks, incomplete marks?.. Do you want to upgrade bad grades from your academic transcript?",0: Legit (Low-risk),legit
"KCB LOAN is available to all M-PESA users 21% interest from\n5,000/=\n10,000/=\n20,000/=\n50,000/=\n100,000/=\nTo apply send 555555 to 0104864853/call",0: Legit (Low-risk),legit
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set NI MUNGU by JOHN M as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",0: Legit (Low-risk),legit
"TCE1XRRWC3 Confirmed. You have received Ksh3,870.00 from JOEL KAZUNGU on 14/3/25. New MPESA balance is Ksh(LOCKED).Dial *35*0000*16# To Unlock.",2: High-risk scam,scam
"M-PESA  QJE1AGKEYH Confirmed.You have received Ksh.8,750.00 from SIMBA KAZUNGU on 25/10/22 New M-PESA balance is Ksh.(LOCKED).Pay bills via M-PESA.",2: High-risk scam,scam
"In Nahum 1:7 “The LORD is good, a refuge in times of trouble. He cares for those who trust in him.” Reply with 22 to set as your signature. Reply with Stop to Stop receiving this message",0: Legit (Low-risk),legit
BILLIONZ ZIZINO ne POWERBALL. Stand a chance to win a GUARANTEED UGX 1.5 BILLION today. Play Now on *278# or *185*5*3*5# or visit bit.ly/3WDOw9b DND*196#,2: High-risk scam,scam
NOTICE! Dear Tenant; Kindly make your rent payment by today 5th to avoid inconveniencies. Rent must be paid through our new paybill account below; Paybill: 714777 Account: 420200355568 Kindly comply. Regards: Management.,2: High-risk scam,scam
"Nice Nice!! PSG vs Manchester City!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed!\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam
Jack Your capital account balance: 2895431.00 KES Sh.  Account number: qq2529 Password: yy99568 Visit link: glwkt.com,2: High-risk scam,scam
"LuckyWin is giving 5 free tickets for Super Million Jackpot, claim & join the draw, get a chance to win KES100K on link https://bit.ly/3BWrK4x\nSTOP*456*9*5#",2: High-risk scam,scam
"Good morning Doreen, just a reminder that u are among the selected people and u should visit our office today for the ongoing exposition.",2: High-risk scam,scam
"Earn Upto Ksh15,000 with our Referral Program. Omoka na Mbogi ukiwachanua pia. www.betkumi.com #ChachishaBet. Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.Hello madam Susan! withdraw 9.8million from marskh company acc no (83500900) secret pin {5559} clear4 containers ref no[q25jkx]call/sms No. (0756497791)",2: High-risk scam,scam
"The Lord is a refuge for the oppressed, Psalms 9:9. Reply with 7 to spread this message of strength. To entertain your callers with Let the word of Christ dwell in you richly""",0: Legit (Low-risk),legit
"Congratulations!\nMkamburi wameconfirm KSH100,000 WILL BE DEPOSITED to YOUR Mpesa Account NO:254725543002 by 10PM.\nKUPATA HII- TUMA 50 PAYBL:919155 AC:MILELE",2: High-risk scam,scam
FREE data for all. Do you like your friend's signature? Reply with '1' to set it as your call signature and get 20Mbs FREE data now. Dial *836*5# to make your personalized Jambo Card. To stop receiving these messages reply STOP.\n,2: High-risk scam,scam
"Dear Tenant,rent payment is now via MPESA Till 4826480 (PAY EASE)due to issues with our regular payment method.PAY ON TIME.No other payment accepted.Management.",2: High-risk scam,scam
Generate a Powerpoint slides with visuals video and pictures that i can present on my public speaking class tomorrow. My topic is perceived african inferiority to westrn nations.Show how africa is beter to try and convince people to stop travelling abroad for work and live thinking its better. Its a 10 minute presentation. Make it good i get an A,0: Legit (Low-risk),legit
"Nice Nice! Liverpool vs Manchester United!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam
Easily use your phone. Earn 800-7000KES per day only for those over 24 years old. Use wa to start work:\nhttps://wa.me/601119294710\nSTOP*456*9*5#,2: High-risk scam,scam
https://administration-mesh-in-acids.trycloudflare.com,2: High-risk scam,scam
🙏⛪If you believe you will receive whatever you ask for in Prayer🙏Reply with 30  to get as your signature.,0: Legit (Low-risk),legit
👌 Wishing you a very Merry Christmas and happy New Year .Reply with 20 to set as your signature. Reply with STOP to stop receiving these messages,0: Legit (Low-risk),legit
"Confirmed! Ksh4,500 received from PATAPESA.\nYour balance is Ksh4,500. Use promo code 'patapesa' to redeem.\nhttps://patapesa.ke/promotions STOP *456*9*5#",2: High-risk scam,scam
"Amazing 3 Promos For You!\n-50X BONUS upto 2500 KES\n-100,000 KES CASH Giveaway\n-100% REFUND\n\nManchester City vs Newcastle!\nwww.kessbet.com STOP *456*9*5#",2: High-risk scam,scam
CONGRATULATIONS & WELL DONE!YOUR NUMBER IS APPROVED.GET sh5000 INSTANT CASH FROM LIGIBET.SEND sh20 TO UNLOCK YOUR WIN NOW.PB:299690 AC:BET STOP *456*9*5#,2: High-risk scam,scam
"[03/03/2025, 07:34:13] ~ Shakeel: Hi REHEMA, Withdraw 4.8M$ via W.Union Acc:54365410\nPIN:563886135. Clear 4  containers at K.P.A from DUBAI MTCN+255/Rff \n{Dr FRANK RIBE} from TZ.\n\nPole sana",2: High-risk scam,scam
"K.C.B MAVUNO LOAN is now available to all M-PESA USERS,From:\n10,000 ap to 600,000\nPayment;10 to 24 Months.To apply sms loan on 0107874556 or Call 0100286781",2: High-risk scam,scam
"NOTICE!\nDear tenant.\n\nWe are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER all rent payments will be done through:\n\nLIPA NA MPESA \nPAY BILL \nBusiness number 4140727\nAccount Number ( your name or house number)\nNAME : PROSPERITY  SERVICES \n\nCash or any other mode of payment will not be accepted deadline 5th SEPTEMBER.\n\nRegards,\nManagement.",2: High-risk scam,scam
"CONGRATULATIONS TAO5D8LTFT confirmed You have received Ksh 139,477.00 FROM WEKELEA BONUS A/C \n\nRegister> wekelea.com \n\nDEPOSIT 99,PLAY &WITHDRAW\nSTOP*456*9*5#",2: High-risk scam,scam
"Have a great holiday and a fantastic year ahead! Merry Christmas and Happy New Year!Reply with 30 to set this message as your call Signature. To stop receiving this message reply with STOP.""",0: Legit (Low-risk),legit
"Dear tenant, rent payment is now via MPESA till4984814(FLEXPAY)due to problems with our regular rent account. PAY ON TIME. No other payment accepted. Management",2: High-risk scam,scam
Congratulations! Your CV has passed. You can get 38000-58000 in a day. please click to contact: wa.me/254757102801,2: High-risk scam,scam
"Heavenly Father, full of mercy and grace, We lift our hearts in gratitude to You for bringing us into this new year. We pray that it may be a year of blessings, peace, and success. We commit every dream and every plan into Your hands. Amen! Reply with 2 to share this message of blessings. To stop recieving this messages, reply with STOP",0: Legit (Low-risk),legit
"Dear Tenant,  rent payment is now via BUY GOODS TILL4931794(PAYLINK SYSTEMS)due to issues with our  account.PAY ON TIME.No other payment accepted.\nBy Management",2: High-risk scam,scam
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set Dua heaven by Sheikh omar as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam
"🔥Pata data ya bure 50 MB 📶, tuma YES na uweze kulipa\nHeshima 🤝 huundwa",0: Legit (Low-risk),legit
"CONGRATULATION 254757547986!!\n\nTUMEKUPA 50 FREE SPINS  equivalent na 350,000  KWA \nAVIATOR &CASINOS GRAB YOUR BONUSES  NOW\n\nRegister>wekelea.com",2: High-risk scam,scam
"UberEats: 30% off McFrys 1/4 Chicken🐤 & Mugg & Bean sandwiches🥪 - Today! 25% off your top stores, 30% off Java 1/4 Chicken🍗 on Thurs & more deals.T&C's apply\n",2: High-risk scam,scam
"Christa, in a few taps you could make Ksh 270 an hour with rides in Nairobi. Activate your account today.* t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe",2: High-risk scam,scam
Thank you for subscribing to Citron Games. To enjoy the service visit https://bit.ly/4adI6B4. Thank You!,2: High-risk scam,scam
0x99bB559743d87eA685F651E3F62C606b08159653  The code of the binance contract with kelp.,0: Legit (Low-risk),legit
"The Lord is my strength and my defense; he has\nbecome my salvation, Psalms 118:14, Reply with\n44 to spread this message of Encouragement.\nTo entertain your callers with blessed is the one\nwho takes refuge in the LORD"" dial *811*608#""",0: Legit (Low-risk),legit
"Dear Customer, Reply with  1 to set Sema Nami by Solomon Mkubwa as your Skiza Tune.  Reply with  2 to set Huniachiia by SALAF as your Skiza Tune.  Relive historic moments with Skiza, dial *811*4# to set Today In History tunes. To stop receiving these messages reply with STOP",0: Legit (Low-risk),legit
"Pole sana, hiyo message imekuja kwako kimakosa. Nakuomba uifute kwa vile iko na siri zangu za benki na za biashara nami nikifika mombasa na nipate mali yangu ikiwa salama nitakuzawadi kwa uaminifu wako Waitwa nani? Sms Or Call 0739909702",0: Legit (Low-risk),legit
"Samahani kwa kutuma message kwako kimakosa,nilikuwa namtumia agent wangu oliver nikakoshea number kwa uangalifu wa barabarani. Nakuomba usionyeshe mtu yeyote kwa kuwa naeza poteza mali ya thamana ikionekana na mtu muhalifu.Nakuahidi nikifika nipate mzigo wangu salama nitarudisha shukran kwako.Wewe waitwa nani?",0: Legit (Low-risk),legit
"You still have KSh 9153.12 commission in your account which is about to expire, please log in to withdraw it! Rush here \nhttps://pesaspin.com/U0\n",2: High-risk scam,scam
Job lost everything he had and in the end God gave him double of what he had. This year has been difficult but the reward is coming. Give hope to your callers with this message today,0: Legit (Low-risk),legit
"New users only! Get bonus up to KSH 35,000 on first deposit. Deposit & Win Big now! https://rebrand.ly/playsimbasl1024",2: High-risk scam,scam
"Milan, your wealth funds have arrived, and the balance remains: 2185609.00 KES Sh. Account number: uu5659 Password: yy99568 Access link:  hhhsr.com",2: High-risk scam,scam
"KCB VOOMA \nDear client you now QUALIFY for a loan Sms loan 0753705237        from \n10,000\n20,000\n50,000\n100,000. 21% saving required call.  0208001009.",2: High-risk scam,scam
You have successfully cancelled the subscription service 24574_News_Alert_Ksh6_Per_Day Thank you.,0: Legit (Low-risk),legit
"Congratulations, you got a job opportunity of 30000 KES per day, click: https://url09.top/b/NdVSpoEk2277",2: High-risk scam,scam
Dont worry,0: Legit (Low-risk),legit
"CONGRATULATIONS!\n\nTUMEKUPEA FREEBET PALE ODIBETS!\n\nREGISTER NOW, CLAIM YOUR FREEBET AND WIN BIG!!\n\nGET YOUR FREEBET: https://odibets.com/freebet\n\nSTOP*456*9*5#",2: High-risk scam,scam
"Dear Tenant,rent payment is now via BUY GOODS TILL 4536810(PAYLINK SYSTEMS)due to issues with our account. PAY ON TIME No other payment accepted.\nBy Management.",2: High-risk scam,scam
"Captain! BONUS UNAYO na Pia kuna 7 milli worth of FREE BETS pale SportPesa Aviator!\n\nMake It Count, grab share yako NOW!\n\nhttps://spp.ke/AVIATORB\n\nSTOP*456*9*5#",2: High-risk scam,scam
"From Nivea, Cantu, Dove, etc. Valid till 28.02. Shop now bit.ly/43fcXx9 STOP*456*9*5#1-Hour Flash Sale is Live! 800/= OFF until 9 PM! Use code 800BOB on non-discounted items except diapers. ",2: High-risk scam,scam
"Greetings,\nTo achieve full infrastructural development on the ongoing construction of roads & sewer line, continuity is key to avoid having stalled projects. Am capable of delivering another 400kms. Also additional classrooms, equal distribution of bursaries to needy students, improved security, social hall & public park in every ward,vote Mercy Wanjiku Gakuya for MP Kasarani.\nMama wa maendeleo.Chama ni jubilee.9/8/2022\nSTOP *456*9*5#",0: Legit (Low-risk),legit
"SC28LR5J2Y  Confirmed.You have received Ksh3,250.00 from ABDI SHAKUR on 2/3/24.New M-PESA balance is Ksh.(LOCKED).Register  M-PESA till for free today .",2: High-risk scam,scam
"BIG WIN ALERT!\nUnlock KES 10,000 in Freebets on Aviator VIP.\nBet KES 300 now and claim your winnings\n\nStake now: https://www.aviatorpesa.ke/ STOP *456*9*5#",2: High-risk scam,scam
"Nimechoka na mateso 😣, nimechoka na taabu 😣. Baba Mungu 🙏, naja kwako. Nibariki kila siku 🙏. Amina. 🙏. Bonyeza *875*347# Baraka za Mungu. Jibu na 2 ili Kueneza neno. Jibu STOP kutopokea jumbe hizi.",0: Legit (Low-risk),legit
"Tukaribishe MWAKA MPYA PAMOJA. Kuna Shopping Ya 15,000 na CASH prizes Ya upto 1 MILLION. PARTICIPATE For FREE. BONYEZA*201# Ushinde. \nSTOP*456*9*5#",2: High-risk scam,scam
Morning kindly if in position lend me 10k will refund by 2pm pls,0: Legit (Low-risk),legit
"If it was easy everybody would have do it👊💪Reply with 00 to subscribe. Dial *812*365# lenanthalaq as your skiza. To stop receiving this message reply, stop",0: Legit (Low-risk),legit
Hi Madam SUSAN  ninakuomba unisajilishie hizo mizigo zangu ni container (3) tatu kutoka dubai password:64938 Ref No:2981126 kabla nifike.Ni ALEX JUMA.TZ,2: High-risk scam,scam
"Dear Subscriber, you have successfully subscribed to 21869_ FunscafeGames_Kshs15_PerDay .To unsubscribe dial *456*20#",0: Legit (Low-risk),legit
Tuma kwa hii 0799848620,1: Moderate-risk scam,scam
"juubet.com  Mambo imechemkaa!!. \nUsilalishe hii weekend, enjoy 30%+ on  payouts.\nMAMBO MOTO MOTO! \nJuubet, we pay out more. STOP *456*9*5#",2: High-risk scam,scam
"👌🙏Do not judge, or you too will be judged.  Matthew  7:1,\n Reply with 36 to set your Jambo card. Dial *836*5# to create your Jambo Card. To stop receiving these messages reply with stop.",0: Legit (Low-risk),legit
"CONGRATULATIONS TAO5D8LTFT confirmed You have received Ksh35,477.00 FROM WEKELEA B2C \n\nRegister> wekelea.com\n\nDEPOSIT,PLAY&WITHDRAW",2: High-risk scam,scam
"Dear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagement.",2: High-risk scam,scam
FRIDAY CASH ALERT!!\n\nOVER 2K PLAYERS WANAPATA 15K-75K SAA HII\n\nUSICHELEWE CHEPKORIR HII NUMBER IKO\n\nINGIA> pepea.ke\nOFFER EXPIRES SOON!!,2: High-risk scam,scam
"Dear Client,your shipment  G4SWBSCB0107745 , was successfully delivered to  MATULAI MUUMBI  on  2024-07-02 .To track click https://t.ly/3EGOQ , or android app: bit.ly/38a57qg .G4S Kenya Ltd.STOP*456*9*5*#.",2: High-risk scam,scam
",Asanti Mungu, kwa baraka zako zote. Kwa chakula, kwa afya na kwa familia. Moyo wangu umejaa shukran.Jibu na 30 ili kueneza baraka kwa wengine. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit
